# l  k  parity   N   mean(Y)       var(Y)        mean(Pf)
  7    3  odd          4  -3.683264e-02  2.395290e-03  1.983805e+01
  8    4  even       380  3.347971e-02  1.262583e-02  1.115740e+01
  9    4  odd        143  1.980381e-03  1.398188e-03  1.143326e+01
  3    1  odd          1  0.000000e+00  0.000000e+00  0.000000e+00
  5    2  odd          3  2.522882e-02  6.862735e-04  2.727516e+01
  6    3  even         7  1.188616e-01  1.009243e-01  8.203683e+00
  7    3  odd          2  0.000000e+00  0.000000e+00  0.000000e+00
  9    4  odd         18  9.120416e-03  6.367202e-04  9.292584e+00
  0    0  even     26718  1.105003e+01  2.582529e+02  1.105003e+01
  1    0  odd         34  1.858148e-02  9.723177e-04  8.848928e+00
  2    1  even       852  1.275513e-01  3.322547e-01  1.038841e+01
  3    1  odd         32  -7.206051e-03  1.151825e-03  1.057314e+01
  4    2  even       307  1.283842e-01  1.882509e-01  1.195660e+01
  5    2  odd         24  -2.096757e-03  8.759150e-04  1.000236e+01
  6    3  even       135  7.265625e-02  5.810872e-02  1.263102e+01
  7    3  odd         17  2.121481e-02  9.850166e-04  1.189681e+01
  9    4  odd          7  -9.715457e-03  1.256604e-03  9.995521e+00
 10    5  even       777  2.157612e-02  5.356775e-03  1.199266e+01
 11    5  odd        147  -4.653364e-03  1.845366e-03  1.274903e+01
  0    0  even     13442  1.093529e+01  2.499649e+02  1.093529e+01
  1    0  odd         20  1.038847e-02  6.350857e-04  7.507266e+00
  2    1  even       260  2.364305e-01  8.642102e-01  1.344371e+01
  3    1  odd         13  -1.576287e-02  9.020402e-04  1.229412e+01
  4    2  even       191  1.416105e-01  4.044659e-01  1.136026e+01
  5    2  odd          6  2.777130e-03  9.124725e-04  1.355714e+01
  6    3  even        80  6.688538e-02  3.034334e-02  1.166810e+01
  7    3  odd          6  3.778637e-03  1.270417e-04  5.003427e+00
  8    4  even        27  6.165907e-02  2.421665e-02  8.919054e+00
  9    4  odd          5  2.977092e-02  1.353155e-03  7.816966e+00
 10    5  even        94  9.486422e-03  6.339050e-03  1.245246e+01
 11    5  odd        215  2.511129e-03  1.214233e-03  9.909399e+00
  2    1  even        31  1.093159e-01  2.337556e-01  1.388911e+01
  4    2  even       127  8.285691e-02  1.010872e-01  1.136222e+01
  8    4  even         4  4.458618e-02  1.656606e-02  9.941406e+00
  9    4  odd          2  0.000000e+00  0.000000e+00  0.000000e+00
 10    5  even         9  3.302680e-02  7.155449e-03  1.269737e+01
  0    0  even     26450  1.114051e+01  2.579803e+02  1.114051e+01
  1    0  odd         32  1.672401e-02  8.608696e-04  1.124197e+01
  2    1  even       921  1.766744e-01  6.286665e-01  1.129722e+01
  3    1  odd         31  -1.202957e-02  1.170103e-03  7.621184e+00
  4    2  even       330  1.253847e-01  2.434024e-01  1.111959e+01
  5    2  odd         23  9.262530e-03  7.657020e-04  8.138160e+00
  6    3  even       114  7.509573e-02  3.919253e-02  1.268439e+01
  7    3  odd         15  -3.564304e-03  1.339135e-03  6.492807e+00
  8    4  even        57  2.816184e-02  1.551156e-02  9.256281e+00
  9    4  odd          9  -9.926380e-03  2.553366e-04  7.854387e+00
 10    5  even        24  1.733907e-02  4.264227e-03  1.707471e+01
 12    6  even       326  1.249252e-02  1.451976e-03  1.344020e+01
 13    6  odd        120  1.551914e-03  1.997233e-03  1.137882e+01
  0    0  even     22515  1.104947e+01  2.538576e+02  1.104947e+01
  1    0  odd         30  1.638288e-02  1.362097e-03  1.135583e+01
  2    1  even       794  2.260996e-01  9.509866e-01  1.088000e+01
  3    1  odd         25  1.097624e-02  2.292215e-03  1.101375e+01
  4    2  even       363  1.256077e-01  1.643772e-01  1.134726e+01
  5    2  odd         14  3.275637e-03  3.775322e-04  7.938212e+00
  6    3  even        97  5.944824e-02  6.121623e-02  1.442283e+01
  7    3  odd         13  1.460226e-02  9.389452e-04  1.048257e+01
  8    4  even        43  6.912586e-03  9.568238e-03  1.220056e+01
  9    4  odd          6  5.790119e-03  2.840569e-03  1.239029e+01
 10    5  even        16  3.715515e-03  5.949978e-03  1.172485e+01
 13    6  odd        158  -2.911833e-03  1.800717e-03  1.151119e+01
  0    0  even     36890  1.085351e+01  2.484111e+02  1.085351e+01
  1    0  odd         57  1.502810e-02  1.060649e-03  9.899679e+00
  2    1  even      1514  1.627548e-01  4.907285e-01  1.122105e+01
  3    1  odd         52  -1.476732e-03  1.722322e-03  1.327362e+01
  4    2  even       473  1.127460e-01  1.416271e-01  1.194695e+01
  5    2  odd         27  -1.602440e-02  1.425237e-03  1.373793e+01
  6    3  even       193  6.222297e-02  7.197308e-02  1.017691e+01
  7    3  odd         21  3.349766e-03  1.587489e-03  1.810235e+01
  8    4  even        66  3.602924e-02  1.819296e-02  1.480378e+01
  9    4  odd         18  2.645289e-03  1.513225e-03  8.878711e+00
 10    5  even        31  1.917685e-02  7.840465e-03  1.221009e+01
 13    6  odd          2  2.078492e-02  2.484680e-04  2.192135e+01
 14    7  even        84  3.748312e-03  2.214075e-04  1.282043e+01
 15    7  odd         96  -1.230264e-03  4.523217e-04  1.186066e+01
  6    3  even        20  -2.972412e-03  2.172584e-02  5.853076e+00
 10    5  even         2  0.000000e+00  0.000000e+00  0.000000e+00
 15    7  odd          1  3.766541e-03  0.000000e+00  0.000000e+00
  0    0  even       200  1.258630e+01  3.300896e+02  1.258630e+01
  1    0  odd        200  1.385292e-02  1.028596e-03  1.114145e+01
  2    1  even       200  1.834100e-01  6.786550e-01  1.137007e+01
  3    1  odd        200  9.393819e-04  1.679967e-03  1.082932e+01
  4    2  even       200  1.774609e-01  2.656455e-01  1.102454e+01
  5    2  odd        200  1.773722e-03  1.403961e-03  1.054622e+01
  0    0  even    199386  1.096627e+01  2.504203e+02  1.096627e+01
  1    0  odd         50  1.629889e-02  1.066593e-03  1.120157e+01
  2    1  even      6200  1.669098e-01  6.045194e-01  1.101788e+01
  3    1  odd         26  5.101047e-03  1.024692e-03  8.859843e+00
  4    2  even      2631  1.137517e-01  1.620846e-01  1.131598e+01
  6    3  even       739  5.760017e-02  4.141062e-02  1.173437e+01
  7    3  odd         48  1.979884e-03  9.318437e-04  7.470933e+00
  7    3  odd         29  3.717241e-03  2.837662e-03  1.589188e+01
  7    3  odd         25  -2.331627e-03  7.467747e-04  6.571217e+00
  8    4  even       266  1.296378e-02  1.048928e-02  9.395829e+00
  9    4  odd         35  2.944414e-05  7.629143e-04  9.738016e+00
  6    3  even         1  -5.944824e-02  0.000000e+00  1.408594e+01
  9    4  odd         16  -1.169968e-02  1.876451e-03  1.615618e+01
  6    3  even         1  1.783447e-01  0.000000e+00  1.967188e+01
  9    4  odd         11  5.088031e-03  6.423114e-04  9.967229e+00
  0    0  even       200  1.231095e+01  2.870137e+02  1.231095e+01
  1    0  odd        200  1.324560e-02  9.246484e-04  1.121100e+01
  2    1  even       200  2.725745e-01  1.142837e+00  1.231170e+01
  3    1  odd        200  2.543323e-03  1.704283e-03  1.129103e+01
  4    2  even       200  1.070087e-01  2.295298e-01  1.142220e+01
  5    2  odd        200  -8.147783e-04  1.289840e-03  1.172424e+01
  0    0  even     44162  1.102024e+01  2.534496e+02  1.102024e+01
  2    1  even      1780  1.677271e-01  5.919548e-01  1.134706e+01
  4    2  even       428  9.376198e-02  1.500004e-01  1.166157e+01
  6    3  even       190  3.911518e-02  4.779251e-02  1.252905e+01
  7    3  odd         12  3.746587e-03  1.609327e-04  1.710901e+01
  6    3  even         4  1.486206e-02  1.126492e-02  1.858203e+01
  0    0  even       200  1.078267e+01  2.543004e+02  1.078267e+01
  1    0  odd        200  1.239885e-02  7.490551e-04  9.655190e+00
  2    1  even       200  1.744751e-01  1.176280e+00  1.344284e+01
  3    1  odd        200  -4.053196e-04  1.492956e-03  1.207876e+01
  4    2  even       200  7.370789e-02  3.469978e-01  9.614441e+00
  5    2  odd        200  3.846116e-03  1.514464e-03  1.329381e+01
  0    0  even      9839  1.086832e+01  2.487126e+02  1.086832e+01
  2    1  even       283  1.815117e-01  4.396052e-01  1.141445e+01
