# l  k  parity   N   mean(Y)       var(Y)        mean(Pf)
  0    0  even      8498  5.672746e+00  5.891521e+01  5.672746e+00
  2    1  even      2207  3.720136e-02  2.591982e-01  5.727864e+00
  4    2  even       828  4.401387e-02  3.645334e-02  5.299414e+00
  5    2  odd         20  -1.571820e-02  2.263533e-03  9.306622e+00
  0    0  even     17776  5.656993e+00  5.967471e+01  5.656993e+00
  1    0  odd         29  2.393763e-03  2.666104e-04  2.393763e-03
  2    1  even       874  6.597412e-02  2.987821e-01  5.930192e+00
  3    1  odd         48  1.499222e-02  3.780064e-03  5.025853e+00
  4    2  even       327  5.872403e-02  4.003634e-02  5.866139e+00
  5    2  odd         38  -1.294427e-03  1.324983e-03  3.898553e+00
  6    3  even      2304  2.569962e-02  7.521488e-03  6.105917e+00
  7    3  odd        259  -8.002273e-04  1.349549e-03  5.870227e+00
  3    1  odd          1  0.000000e+00  0.000000e+00  0.000000e+00
  7    3  odd         39  1.125839e-02  1.831808e-03  9.914138e+00
  7    3  odd          9  -1.447190e-02  1.853915e-03  8.256700e+00
  0    0  even     11938  5.591871e+00  5.879276e+01  5.591871e+00
  1    0  odd         17  2.790353e-03  2.264353e-04  2.790353e-03
  2    1  even       636  7.290995e-02  2.799825e-01  6.046902e+00
  3    1  odd         51  -8.532040e-03  2.471726e-03  5.113714e+00
  4    2  even       239  5.621312e-02  5.060399e-02  5.412548e+00
  5    2  odd         18  6.611145e-03  1.210336e-03  7.649007e+00
  7    3  odd         21  6.477652e-03  1.358832e-03  4.614316e+00
  8    4  even       912  1.544885e-02  2.377107e-03  5.846239e+00
  9    4  odd        174  1.355399e-03  1.025129e-03  5.335309e+00
  9    4  odd         19  -9.837862e-03  5.761329e-04  4.752731e+00
  0    0  even     10317  5.605459e+00  5.961607e+01  5.605459e+00
  1    0  odd         15  -4.896021e-03  2.037117e-04  -4.896021e-03
  2    1  even       516  3.156606e-02  2.493696e-01  5.766863e+00
  3    1  odd         34  9.488697e-03  3.046750e-03  8.051740e+00
  4    2  even       193  3.603794e-02  3.109580e-02  5.579059e+00
  5    2  odd         18  8.980216e-03  2.766320e-03  7.186632e+00
  7    3  odd         12  7.509191e-03  4.586645e-04  3.234975e+00
  9    4  odd          7  1.333115e-02  1.191174e-03  3.906599e+00
 10    5  even       356  7.514525e-03  1.124872e-03  5.403369e+00
 11    5  odd        106  -2.754392e-03  9.371475e-04  5.265095e+00
  5    2  odd          4  3.754197e-02  1.327366e-03  9.036133e+00
 11    5  odd         31  -1.793847e-03  7.405857e-04  4.980229e+00
  0    0  even     11597  5.661018e+00  5.924338e+01  5.661018e+00
  1    0  odd         17  -5.266105e-04  2.593422e-04  -5.266105e-04
  2    1  even       530  2.164537e-02  2.591949e-01  5.526604e+00
  3    1  odd         41  5.044352e-04  2.166516e-03  4.360021e+00
  4    2  even       199  3.076908e-02  3.562360e-02  5.853989e+00
  5    2  odd         26  -8.753211e-03  2.622789e-03  6.944012e+00
  7    3  odd         10  -7.500089e-03  5.119521e-04  8.150354e+00
  9    4  odd          9  1.224670e-02  8.624751e-04  4.333116e+00
 11    5  odd          3  3.859315e-02  2.244030e-03  1.076013e+01
 12    6  even       139  6.842963e-03  9.701792e-04  4.980910e+00
 13    6  odd         74  4.448973e-03  7.479157e-04  6.106298e+00
  0    0  even      1944  5.505113e+00  5.896702e+01  5.505113e+00
  1    0  odd          1  5.054474e-04  0.000000e+00  5.054474e-04
  2    1  even        96  -1.244863e-03  3.676178e-01  5.788920e+00
  3    1  odd          3  0.000000e+00  0.000000e+00  0.000000e+00
  4    2  even        36  5.615573e-02  3.730235e-02  6.995958e+00
  5    2  odd         10  2.374224e-03  1.859011e-04  2.948633e+00
  9    4  odd          2  -3.012510e-02  2.105835e-08  2.499799e+01
 11    5  odd          6  1.341574e-02  8.573596e-04  4.290181e+00
 12    6  even         7  0.000000e+00  0.000000e+00  3.506696e+00
 13    6  odd         17  -7.464785e-03  6.863572e-04  7.479988e+00
  2    1  even        20  -7.728882e-02  7.531277e-02  5.880121e+00
  4    2  even         7  -1.104213e-01  1.428376e-01  4.152902e+00
 13    6  odd          1  0.000000e+00  0.000000e+00  0.000000e+00
  0    0  even     14946  5.620247e+00  5.954321e+01  5.620247e+00
  1    0  odd         24  3.515455e-03  3.763668e-04  3.515455e-03
  2    1  even       689  7.152116e-02  2.757265e-01  5.712794e+00
