# l  k  parity   N   mean(Y)       var(Y)        mean(Pf)
  4    2  even       551  -1.816960e-01  6.158414e-01  1.748276e+01
  5    2  odd         24  1.357208e-03  1.791383e-03  1.994984e+01
  6    3  even       425  -7.986630e-02  1.227540e-01  1.787933e+01
  7    3  odd         32  9.366278e-03  2.602022e-03  1.939870e+01
  8    4  even       115  -1.136846e-02  2.906418e-02  1.790726e+01
  9    4  odd          9  -2.018554e-02  2.337517e-03  2.731977e+01
 11    5  odd         50  -3.965370e-02  2.996246e-02  1.291130e+01
 12    6  even        21  -3.832548e-02  3.053597e-03  1.583748e+01
 14    7  even        11  -9.163996e-04  3.845926e-04  1.798239e+01
 16    8  even        19  -5.721812e-03  1.132609e-04  1.599090e+01
 18    9  even        43  1.772132e-05  3.137750e-05  1.748009e+01
 19    9  odd         78  1.165821e-04  9.450606e-05  1.971813e+01
  0    0  even       200  1.628671e+01  1.542834e+02  1.628671e+01
  1    0  odd        200  -1.184722e-03  1.040588e-03  -1.184722e-03
  2    1  even       200  -1.765674e-01  1.498781e+00  1.876342e+01
  3    1  odd        200  7.662241e-04  2.644340e-03  1.828212e+01
  4    2  even       200  -1.521948e-01  5.331005e-01  1.875396e+01
  5    2  odd        200  -1.247051e-03  2.588516e-03  1.815074e+01
  0    0  even    2633912  1.767452e+01  1.843915e+02  1.767452e+01
  1    0  odd       4638  3.230529e-03  1.003008e-03  3.230529e-03
  2    1  even    183382  -1.108815e-01  1.412521e+00  1.758599e+01
  3    1  odd       5253  2.216717e-03  2.134807e-03  1.736629e+01
  4    2  even     77220  -1.362371e-01  4.931698e-01  1.741626e+01
  5    2  odd       3615  1.910393e-03  2.217086e-03  1.754359e+01
  0    0  even    432200  1.767759e+01  1.842669e+02  1.767759e+01
  1    0  odd        225  -2.465459e-03  8.932319e-04  -2.465459e-03
  2    1  even      6197  -9.450161e-02  1.350557e+00  1.768642e+01
  4    2  even      1879  -1.342121e-01  4.882993e-01  1.796725e+01
  0    0  even    201709  1.766206e+01  1.842027e+02  1.766206e+01
  1    0  odd        324  5.540335e-05  9.737594e-04  5.540335e-05
  2    1  even     12348  -1.213421e-01  1.416157e+00  1.759955e+01
  3    1  odd        132  3.549577e-03  1.839559e-03  1.639195e+01
  4    2  even      5210  -1.344941e-01  4.757435e-01  1.735830e+01
  5    2  odd        210  -1.310991e-03  2.527246e-03  1.713581e+01
  6    3  even     30683  -9.083809e-02  1.527931e-01  1.740778e+01
  7    3  odd       1462  2.459096e-04  2.508613e-03  1.739044e+01
  0    0  even     33851  1.762899e+01  1.856245e+02  1.762899e+01
  1    0  odd         52  8.245658e-03  9.649874e-04  8.245658e-03
  2    1  even      2125  -1.370965e-01  1.431021e+00  1.748886e+01
  3    1  odd         48  -2.918000e-03  1.992829e-03  1.538099e+01
  4    2  even       785  -1.202941e-01  5.126410e-01  1.729031e+01
  5    2  odd         56  -1.028271e-03  2.346986e-03  1.667364e+01
  6    3  even      2925  -9.200892e-02  1.561545e-01  1.727884e+01
  7    3  odd       1583  -1.322590e-03  2.496587e-03  1.725342e+01
  0    0  even    172227  1.766632e+01  1.849371e+02  1.766632e+01
  1    0  odd        284  5.972071e-03  9.390832e-04  5.972071e-03
  2    1  even     10663  -1.226340e-01  1.471742e+00  1.728025e+01
  3    1  odd        292  8.658508e-05  1.870389e-03  1.704220e+01
  4    2  even      4463  -1.342042e-01  4.950228e-01  1.768944e+01
  5    2  odd        214  2.950405e-03  2.789292e-03  1.870439e+01
  6    3  even      1785  -8.080227e-02  1.524749e-01  1.746807e+01
  7    3  odd        156  3.920292e-03  2.059923e-03  1.558649e+01
  8    4  even     12851  -5.696994e-02  4.326389e-02  1.721781e+01
  9    4  odd       1162  -3.186198e-04  2.576144e-03  1.679681e+01
  0    0  even     31540  1.751966e+01  1.823213e+02  1.751966e+01
  1    0  odd         44  5.069917e-05  5.754960e-04  5.069917e-05
  2    1  even      2166  -1.013694e-01  1.364713e+00  1.806852e+01
  3    1  odd         35  1.884535e-03  2.140516e-03  1.721451e+01
  4    2  even       820  -1.743116e-01  5.226892e-01  1.723043e+01
  5    2  odd         64  -7.037179e-03  1.743558e-03  1.576493e+01
  6    3  even       316  -1.163541e-01  1.555130e-01  1.583752e+01
  7    3  odd         15  7.705006e-03  2.148702e-03  1.744211e+01
  8    4  even       574  -5.396327e-02  4.468399e-02  1.755033e+01
  9    4  odd       1155  1.319563e-03  2.530728e-03  1.782364e+01
  0    0  even    146612  1.764577e+01  1.831732e+02  1.764577e+01
  1    0  odd        232  4.093378e-03  1.065263e-03  4.093378e-03
  2    1  even      9050  -1.108954e-01  1.415974e+00  1.756470e+01
  3    1  odd        250  8.520712e-04  2.014107e-03  1.806644e+01
  4    2  even      3821  -1.289090e-01  4.752894e-01  1.726724e+01
  5    2  odd        176  2.530902e-03  2.343245e-03  1.962788e+01
  6    3  even      1498  -8.621888e-02  1.569714e-01  1.818556e+01
  7    3  odd        134  -1.222030e-04  2.406899e-03  1.764570e+01
  8    4  even       572  -5.290382e-02  4.386535e-02  1.738219e+01
  9    4  odd         86  3.785339e-04  2.789759e-03  2.046817e+01
 10    5  even      5082  -2.789149e-02  9.940224e-03  1.702282e+01
 11    5  odd        873  -5.505235e-03  2.017777e-02  1.693402e+01
  0    0  even    202314  1.766041e+01  1.844384e+02  1.766041e+01
